10001	1	101	2.2	1
10001	1	101	8.6	7
10001	1	101	31.4	11
10001	1	101	106.3	14
10001	1	101	225.9	16
10001	1	101	293.4	17
10001	1	101	295.9	18
10001	1	101	284.5	19
10001	1	101	282	20
10001	1	101	269.9	21
10002	1	101	3.8	2
10002	1	101	33.8	8
10002	1	101	94.6	11
10002	1	101	318.3	16
10002	1	101	311.7	17
10002	1	101	301.6	18
10002	1	101	289.7	19
10003	1	101	12.4	6
10003	1	101	60.8	10
10003	1	101	214.3	13
10003	1	101	218.2	14
10003	1	101	328.3	16
10003	1	101	316.8	17
10003	1	101	307.7	18
10003	1	101	290.9	19
10012	1	102	2.6	2
10012	1	102	15.9	9
10012	1	102	75.9	13
10012	1	102	177.4	16
10012	1	102	294.4	19
10012	1	102	281.2	20
10012	1	102	274.3	21
10012	1	102	263.2	22
10015	1	102	5.2	2
10015	1	102	33.4	9
10015	1	102	173.4	13
10015	1	102	300.8	16
10015	1	102	281.8	17
10015	1	102	274.6	18
10015	1	102	270.2	19
10015	1	102	259.1	20
10017	1	102	2.4	2
10017	1	102	11.7	5
10017	1	102	45.5	9
10017	1	102	121.1	13
10017	1	102	243.2	16
10017	1	102	289.1	19
10017	1	102	284.4	20
10017	1	102	267	21
10018	1	102	3.4	2
10018	1	102	33.3	9
10018	1	102	182.8	13
10018	1	102	310.4	16
10018	1	102	303.6	17
10018	1	102	298.9	18
10018	1	102	296.5	19
10018	1	102	284.6	20
10019	1	102	3.5	2
10019	1	102	35.1	9
10019	1	102	164.3	13
10019	1	102	275	16
10019	1	102	287	19
10019	1	102	274.4	20
10021	1	103	4.7	2
10021	1	103	12.1	5
10021	1	103	39.1	9
10021	1	103	73.1	13
10021	1	103	185.9	16
10021	1	103	297.8	19
10021	1	103	285	20
10021	1	103	279.6	21
10021	1	103	267.2	22
10022	1	103	3.1	2
10022	1	103	7.3	5
10022	1	103	37.7	9
10022	1	103	206.2	13
10022	1	103	263.5	15
10022	1	103	287.2	16
10022	1	103	260.5	19
10023	1	103	3.2	2
10023	1	103	9	5
10023	1	103	39.2	9
10023	1	103	169.3	13
10023	1	103	255.9	16
10023	1	103	241.4	19
10024	1	103	2.8	2
10024	1	103	6.8	5
10024	1	103	44.7	9
10024	1	103	150.9	13
10024	1	103	269	16
10024	1	103	251.5	19
10025	1	103	4.3	2
10025	1	103	38.9	9
10025	1	103	174.3	13
10025	1	103	297.9	16
10025	1	103	288.3	19
10025	1	103	274.4	20
10027	1	103	3	1
10027	1	103	10.3	4
10027	1	103	41.6	8
10027	1	103	153.2	12
10027	1	103	277.4	15
10027	1	103	311.2	18
10027	1	103	299	19
10028	1	103	5.6	3
10028	1	103	113.4	11
10028	1	103	254.2	14
10028	1	103	313.9	16
10028	1	103	326.9	17
10028	1	103	320.1	18
10028	1	103	311.7	19
10028	1	103	298.5	20
10029	1	103	2.4	1
10029	1	103	6.9	4
10029	1	103	49.3	9
10029	1	103	136.3	12
10029	1	103	284.9	15
10029	1	103	259.4	18
10030	1	103	2.8	1
10030	1	103	8	4
10030	1	103	67.4	9
10030	1	103	171.3	12
10030	1	103	254.4	15
10030	1	103	241	18
10031	1	104	3.7	2
10031	1	104	13	6
10031	1	104	109.9	10
10031	1	104	213	14
10031	1	104	293.1	15
10031	1	104	299.3	18
10031	1	104	287.4	20
10033	1	104	3.5	2
10033	1	104	8.9	6
10033	1	104	41.4	10
10033	1	104	200.8	14
10033	1	104	266.2	15
10033	1	104	239.7	18
10034	1	104	4	2
10034	1	104	14.7	6
10034	1	104	102.5	10
10034	1	104	261.8	14
10034	1	104	249.4	15
10034	1	104	231.1	18
10035	1	104	4.5	2
10035	1	104	13.4	6
10035	1	104	72.6	10
10035	1	104	199.8	14
10035	1	104	288.3	17
10035	1	104	285.5	18
10035	1	104	274.4	19
10036	1	104	4.9	2
10036	1	104	14.3	6
10036	1	104	75.8	10
10036	1	104	183.5	14
10036	1	104	286.2	17
10036	1	104	282.3	18
10036	1	104	270.2	19
10037	1	104	4.7	2
10037	1	104	15.2	6
10037	1	104	84.2	10
10037	1	104	234.5	14
10037	1	104	281.1	17
10037	1	104	277.2	18
10037	1	104	267.1	19
10038	1	104	2.7	2
10038	1	104	12.5	6
10038	1	104	78.1	10
10038	1	104	220.3	14
10038	1	104	305.7	17
10038	1	104	299.9	18
10038	1	104	289.4	19
10039	1	104	4.9	2
10039	1	104	18.3	6
10039	1	104	105.5	10
10039	1	104	249.1	14
10039	1	104	318.1	17
10039	1	104	314.6	18
10039	1	104	305.1	19
10040	1	104	2.4	2
10040	1	104	9.5	6
10040	1	104	45.2	10
10040	1	104	234.1	14
10040	1	104	310.9	17
10040	1	104	303.3	18
10040	1	104	298.6	19
10040	1	104	285.4	20
10041	1	105	5.3	2
10041	1	105	20.4	6
10041	1	105	117.4	10
10041	1	105	282.6	14
10041	1	105	269.7	15
10041	1	105	255.1	18
10042	1	105	3.7	2
10042	1	105	61.5	9
10042	1	105	166	12
10042	1	105	251.3	15
10042	1	105	235.7	18
10043	1	105	6.1	3
10043	1	105	24.2	7
10043	1	105	119	11
10043	1	105	267	14
10043	1	105	249.7	18
10045	1	105	4.9	3
10045	1	105	22	7
10045	1	105	111.9	11
10045	1	105	235.1	15
10045	1	105	311.8	18
10045	1	105	309.4	19
10045	1	105	295.6	20
10046	1	105	2	2
10046	1	105	12.7	6
10046	1	105	50.5	10
10046	1	105	237.2	14
10046	1	105	326.1	17
10046	1	105	315.8	18
10046	1	105	309.4	19
10046	1	105	294.2	20
10047	1	105	4.6	2
10047	1	105	16.6	6
10047	1	105	87.2	10
10047	1	105	234.5	14
10047	1	105	281.8	17
10047	1	105	278.4	18
10047	1	105	266.6	19
10049	1	105	4.2	2
10049	1	105	83.1	9
10049	1	105	196.1	12
10049	1	105	327.7	15
10049	1	105	333.7	16
10049	1	105	315	17
10049	1	105	310.8	18
10049	1	105	298.2	19
10050	1	105	5.9	3
10050	1	105	73.8	10
10050	1	105	188.8	13
10050	1	105	315.9	16
10050	1	105	300.7	17
10050	1	105	290.4	18
10050	1	105	284	19
10050	1	105	273.7	20
10051	2	106	3.8	2
10051	2	106	43.7	9
10051	2	106	117.5	12
10051	2	106	254.8	15
10051	2	106	312.5	18
10051	2	106	309.8	19
10051	2	106	292	20
10053	2	106	4.8	3
10053	2	106	92.3	10
10053	2	106	225.4	13
10053	2	106	235.5	14
10053	2	106	287	15
10053	2	106	276.3	16
10053	2	106	257.2	19
10054	2	106	4.6	3
10054	2	106	69.2	10
10054	2	106	172.6	13
10054	2	106	253.3	16
10054	2	106	239.6	19
10056	2	106	5.9	3
10056	2	106	103.6	10
10056	2	106	247.9	13
10056	2	106	311.7	15
10056	2	106	309.4	16
10056	2	106	299.4	17
10056	2	106	292.9	18
10056	2	106	281.5	19
10057	2	106	2.6	2
10057	2	106	33.3	9
10057	2	106	92.1	12
10057	2	106	215.8	15
10057	2	106	288.3	18
10057	2	106	283.5	19
10057	2	106	269.6	20
10058	2	106	2.5	2
10058	2	106	19.6	9
10058	2	106	53	12
10058	2	106	126.6	15
10058	2	106	222.1	18
10058	2	106	243.7	19
10058	2	106	232.7	20
10058	2	106	230.1	21
10058	2	106	214.9	22
10060	2	106	3.1	2
10060	2	106	36.6	9
10060	2	106	90.7	12
